time,Azimuth,Pitch,Roll
0.014487,-169.599,1.896,-109.508
0.075444,-169.328,1.852,-109.744
0.115999,-169.328,1.852,-109.744
0.163858,-168.824,1.852,-109.744
0.217254,-168.824,1.852,-109.744
0.277853,-169.972,1.888,-108.72
0.318414,-169.972,1.888,-108.72
0.363651,-168.418,1.888,-108.72
0.419714,-168.418,1.888,-108.72
0.480427,-168.869,1.803,-108.295
0.520238,-168.869,1.803,-108.295
0.562072,-168.035,1.803,-108.295
0.622281,-168.035,1.803,-108.295
0.682345,-168.641,1.7,-107.727
0.722867,-168.641,1.7,-107.727
0.761073,-168.395,1.7,-107.727
0.823979,-168.395,1.7,-107.727
0.884636,-167.972,2.142,-108.208
0.92505,-167.972,2.142,-108.208
0.960889,-167.538,2.142,-108.208
1.026411,-167.538,2.142,-108.208
1.087905,-168.214,1.31,-107.412
1.127904,-168.214,1.31,-107.412
1.159576,-168.974,1.31,-107.412
1.229621,-168.974,1.31,-107.412
1.289542,-168.345,1.168,-107.962
1.330239,-168.345,1.168,-107.962
1.358677,-169.157,1.168,-107.962
1.432186,-169.157,1.168,-107.962
1.493345,-169.071,0.86,-107.98
1.534325,-169.071,0.86,-107.98
1.560202,-168.736,0.86,-107.98
1.635334,-168.736,0.86,-107.98
1.695808,-169.819,1.262,-107.071
1.736572,-169.819,1.262,-107.071
1.757848,-168.187,1.262,-107.071
1.838189,-168.187,1.262,-107.071
1.898736,-167.766,1.275,-107.46
1.937994,-167.766,1.275,-107.46
1.956839,-169.081,1.275,-107.46
2.039349,-169.081,1.275,-107.46
2.101265,-167.809,0.987,-108.557
2.140597,-167.809,0.987,-108.557
2.156468,-168.531,0.987,-108.557
2.241886,-168.531,0.987,-108.557
2.303707,-168.713,1.179,-108.429
2.343046,-168.713,1.179,-108.429
2.356568,-168.137,1.179,-108.429
2.444492,-168.137,1.179,-108.429
2.505415,-169.234,1.142,-107.424
2.544999,-169.234,1.142,-107.424
2.554772,-166.866,1.142,-107.424
2.646047,-166.866,1.142,-107.424
2.706976,-168.607,0.872,-105.765
2.750517,-168.607,0.872,-105.765
2.753932,-166.231,0.872,-105.765
2.850336,-166.231,0.872,-105.765
2.909146,-172.841,1.436,-99.809
2.954044,-172.841,1.436,-99.809
2.954647,-165.499,1.436,-99.809
3.051547,-165.499,1.436,-99.809
3.113917,-175.427,3.328,-91.099
3.15327,-166.991,3.328,-91.099
3.153704,-166.991,3.328,-91.099
3.254703,-166.991,3.328,-91.099
3.315481,-175.63,4.42,-83.233
3.351267,-167.695,4.42,-83.233
3.355644,-167.695,4.42,-83.233
3.457132,-167.695,4.42,-83.233
3.517586,-175.075,3.931,-76.283
3.550709,-168.008,3.931,-76.283
3.557786,-168.008,3.931,-76.283
3.659866,-168.008,3.931,-76.283
3.721099,-174.799,4.548,-70.029
3.750604,-169.32,4.548,-70.029
3.759709,-169.32,4.548,-70.029
3.862221,-169.32,4.548,-70.029
3.923143,-172.913,2.634,-66.244
3.950221,-169.41,2.634,-66.244
3.961923,-169.41,2.634,-66.244
4.063831,-169.41,2.634,-66.244
4.124891,-169.717,2.95,-65.995
4.149845,-169.523,2.95,-65.995
4.164244,-169.523,2.95,-65.995
4.266144,-169.523,2.95,-65.995
4.326595,-169.24,2.521,-66.196
4.3477,-168.32,2.521,-66.196
4.367684,-168.32,2.521,-66.196
4.470765,-168.32,2.521,-66.196
4.530282,-168.221,2.294,-66.25
4.546723,-168.78,2.294,-66.25
4.569586,-168.78,2.294,-66.25
4.671691,-168.78,2.294,-66.25
4.73283,-168.988,2.826,-66.14
4.746182,-168.666,2.826,-66.14
4.772343,-168.666,2.826,-66.14
4.874856,-168.666,2.826,-66.14
4.935345,-168.803,2.823,-66.004
4.945418,-168.898,2.823,-66.004
4.975417,-168.898,2.823,-66.004
5.077491,-168.898,2.823,-66.004
5.13766,-168.68,2.605,-66.18
5.143722,-168.304,2.605,-66.18
5.177101,-168.304,2.605,-66.18
5.278758,-168.304,2.605,-66.18
5.339949,-168.178,2.684,-66.32
5.342976,-168.388,2.684,-66.32
5.379376,-168.388,2.684,-66.32
5.481636,-168.388,2.684,-66.32
5.541497,-168.407,2.735,-66.311
5.541995,-168.784,2.735,-66.311
5.582561,-168.784,2.735,-66.311
5.682255,-168.784,2.735,-66.311
5.742541,-169.064,2.735,-66.311
5.743319,-169.281,2.655,-66.077
5.78431,-169.281,2.655,-66.077
5.8848,-169.281,2.655,-66.077
5.940534,-170.011,2.655,-66.077
5.944788,-169.664,2.582,-66.412
5.986361,-169.664,2.582,-66.412
6.087482,-169.664,2.582,-66.412
6.140479,-168.835,2.582,-66.412
6.14953,-168.852,2.524,-66.384
6.190937,-168.852,2.524,-66.384
6.290666,-168.852,2.524,-66.384
6.339581,-168.715,2.524,-66.384
6.350947,-169.045,2.665,-66.081
6.391987,-169.045,2.665,-66.081
6.492775,-169.045,2.665,-66.081
6.538359,-170.04,2.665,-66.081
6.554262,-169.398,2.347,-66.666
6.594501,-169.398,2.347,-66.666
6.695635,-169.398,2.347,-66.666
6.738417,-169.109,2.347,-66.666
6.755576,-169.251,2.434,-66.542
6.79639,-169.251,2.434,-66.542
6.897855,-169.251,2.434,-66.542
6.937671,-169.212,2.434,-66.542
6.958414,-169.2,2.497,-66.566
6.999156,-169.2,2.497,-66.566
7.100772,-169.2,2.497,-66.566
7.13567,-169.535,2.497,-66.566
7.160684,-169.503,2.334,-66.569
7.201822,-169.503,2.334,-66.569
7.302697,-169.503,2.334,-66.569
7.334807,-169.015,2.334,-66.569
7.362843,-168.871,2.344,-66.718
7.403712,-168.871,2.344,-66.718
7.504813,-168.871,2.344,-66.718
7.535054,-168.951,2.344,-66.718
7.565341,-169.113,2.348,-66.557
7.605548,-169.113,2.348,-66.557
7.70647,-169.113,2.348,-66.557
7.732701,-169.296,2.348,-66.557
7.767605,-169.28,2.359,-66.575
7.8085,-169.28,2.359,-66.575
7.910845,-169.28,2.359,-66.575
7.932148,-169.715,2.359,-66.575
7.970918,-169.571,2.266,-66.701
8.010458,-169.571,2.266,-66.701
8.112864,-169.571,2.266,-66.701
8.132817,-169.427,2.266,-66.701
8.172265,-169.341,2.32,-66.796
8.214086,-169.341,2.32,-66.796
8.315263,-169.341,2.32,-66.796
8.330504,-168.808,2.32,-66.796
8.376449,-168.787,2.404,-66.833
8.416548,-168.787,2.404,-66.833
8.517646,-168.787,2.404,-66.833
8.530215,-169.359,2.404,-66.833
8.577908,-169.314,2.318,-66.864
8.618351,-169.314,2.318,-66.864
8.719903,-169.314,2.318,-66.864
8.72941,-169.781,2.318,-66.864
8.780934,-169.983,2.488,-66.694
8.82092,-169.983,2.488,-66.694
8.923412,-169.983,2.488,-66.694
8.928711,-169.114,2.488,-66.694
8.983076,-169.043,2.318,-66.734
9.022105,-169.043,2.318,-66.734
9.125068,-169.043,2.318,-66.734
9.128394,-169.112,2.318,-66.734
9.184443,-169.293,2.464,-66.58
9.225255,-169.293,2.464,-66.58
9.327384,-168.988,2.464,-66.58
9.327738,-168.988,2.464,-66.58
9.3874,-168.971,2.505,-66.605
9.430066,-168.971,2.505,-66.605
9.52592,-169.169,2.505,-66.605
9.528019,-169.169,2.505,-66.605
9.590496,-169.127,2.495,-66.645
9.631533,-169.127,2.495,-66.645
9.726733,-169.416,2.495,-66.645
9.730469,-169.416,2.495,-66.645
9.792611,-169.496,2.41,-66.549
9.833614,-169.496,2.41,-66.549
9.924434,-169.201,2.41,-66.549
9.933803,-169.201,2.41,-66.549
9.994811,-169.247,2.442,-66.51
10.03526,-169.247,2.442,-66.51
10.125229,-169.229,2.442,-66.51
10.136099,-169.229,2.442,-66.51
10.197922,-169.175,2.39,-66.554
10.23783,-169.175,2.39,-66.554
10.323523,-168.75,2.39,-66.554
10.339145,-168.75,2.39,-66.554
10.40019,-168.864,2.606,-66.482
10.44005,-168.864,2.606,-66.482
10.524504,-168.775,2.606,-66.482
10.541454,-168.775,2.606,-66.482
10.603146,-168.801,2.904,-66.513
10.642082,-168.801,2.904,-66.513
10.721624,-169.146,2.904,-66.513
10.743179,-169.146,2.904,-66.513
10.804961,-169.338,2.713,-66.288
10.844679,-169.338,2.713,-66.288
10.921567,-169.221,2.713,-66.288
10.945895,-169.221,2.713,-66.288
11.006156,-168.796,2.585,-66.69
11.046764,-168.796,2.585,-66.69
11.120736,-169.326,2.585,-66.69
11.150243,-169.326,2.585,-66.69
11.208796,-169.245,2.669,-66.786
11.250579,-169.245,2.669,-66.786
11.320157,-169.754,2.669,-66.786
11.350922,-169.754,2.669,-66.786
11.411787,-169.86,2.315,-66.62
11.45271,-169.86,2.315,-66.62
11.519012,-169.54,2.315,-66.62
11.553472,-169.54,2.315,-66.62
11.614692,-169.113,2.176,-67.018
11.653587,-169.113,2.176,-67.018
11.718299,-169.053,2.176,-67.018
11.755424,-169.053,2.176,-67.018
11.816876,-169.021,1.982,-67.014
11.857799,-169.021,1.982,-67.014
11.91801,-169.5,1.982,-67.014
11.957599,-169.5,1.982,-67.014
12.019709,-169.316,1.759,-67.16
